"THREAD_ID","EVENT_ID","END_EVENT_ID","EVENT_NAME","SOURCE","TIMER_START","TIMER_END","TIMER_WAIT","LOCK_TIME","SQL_TEXT","DIGEST","DIGEST_TEXT","CURRENT_SCHEMA","OBJECT_TYPE","OBJECT_SCHEMA","OBJECT_NAME","OBJECT_INSTANCE_BEGIN","MYSQL_ERRNO","RETURNED_SQLSTATE","MESSAGE_TEXT","ERRORS","WARNINGS","ROWS_AFFECTED","ROWS_SENT","ROWS_EXAMINED","CREATED_TMP_DISK_TABLES","CREATED_TMP_TABLES","SELECT_FULL_JOIN","SELECT_FULL_RANGE_JOIN","SELECT_RANGE","SELECT_RANGE_CHECK","SELECT_SCAN","SORT_MERGE_PASSES","SORT_RANGE","SORT_ROWS","SORT_SCAN","NO_INDEX_USED","NO_GOOD_INDEX_USED","NESTING_EVENT_ID","NESTING_EVENT_TYPE","NESTING_EVENT_LEVEL"
62947,7,7,statement/sql/select,"",10470962880702000,10470962997049000,116347000,51000000,SELECT * FROM TB_Menu WHERE IdServ = 'S572' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62948,7,7,statement/sql/select,"",10470965110882000,10470965227305000,116423000,51000000,SELECT * FROM TB_Menu WHERE IdServ = 'S572' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62949,7,7,statement/sql/select,"",10470967275501000,10470967384488000,108987000,48000000,SELECT * FROM TB_Menu WHERE IdServ = 'S572' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62950,7,7,statement/sql/select,"",10470969596031000,10470969700976000,104945000,47000000,SELECT * FROM TB_Menu WHERE IdServ = 'S573' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62951,7,7,statement/sql/select,"",10470971804862000,10470971912946000,108084000,47000000,SELECT * FROM TB_Menu WHERE IdServ = 'S63' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62952,7,7,statement/sql/select,"",10470974061709000,10470974166616000,104907000,49000000,SELECT * FROM TB_Menu WHERE IdServ = 'S573' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62953,7,7,statement/sql/select,"",10470976178985000,10470976283782000,104797000,48000000,SELECT * FROM TB_Menu WHERE IdServ = 'S573' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62954,7,7,statement/sql/select,"",10470978291892000,10470978391468000,99576000,44000000,SELECT * FROM TB_Menu WHERE IdServ = 'S390' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62955,7,7,statement/sql/select,"",10470980379342000,10470980478828000,99486000,45000000,SELECT * FROM TB_Menu WHERE IdServ = 'S390' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62956,7,7,statement/sql/select,"",10470982478179000,10470982577401000,99222000,43000000,SELECT * FROM TB_Menu WHERE IdServ = 'S390' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62957,7,7,statement/sql/select,"",10470984668142000,10470984764515000,96373000,43000000,SELECT * FROM TB_Menu WHERE IdServ = 'S327' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62958,7,7,statement/sql/select,"",10470986649722000,10470986746199000,96477000,43000000,SELECT * FROM TB_Menu WHERE IdServ = 'S327' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62959,7,7,statement/sql/select,"",10470988813655000,10470988916797000,103142000,48000000,SELECT * FROM TB_Menu WHERE IdServ = 'S327' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62960,7,7,statement/sql/select,"",10470990845660000,10470990943513000,97853000,44000000,SELECT * FROM TB_Menu WHERE IdServ = 'S568' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62961,7,7,statement/sql/select,"",10470992976732000,10470993072340000,95608000,43000000,SELECT * FROM TB_Menu WHERE IdServ = 'S528' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62962,7,7,statement/sql/select,"",10470995047055000,10470995150730000,103675000,43000000,SELECT * FROM TB_Menu WHERE IdServ = 'S402' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62963,7,7,statement/sql/select,"",10470997260504000,10470997360032000,99528000,44000000,SELECT * FROM TB_Menu WHERE IdServ = 'S513' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62964,7,7,statement/sql/select,"",10470999263343000,10470999355863000,92520000,42000000,SELECT * FROM TB_Menu WHERE IdServ = 'S510' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62965,7,7,statement/sql/select,"",10471001414985000,10471001512729000,97744000,41000000,SELECT * FROM TB_Menu WHERE IdServ = 'S490' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
62966,7,7,statement/sql/select,"",10471003567228000,10471003665790000,98562000,42000000,SELECT * FROM TB_Menu WHERE IdServ = 'S272' AND Estado = 'ACTIVO',"8501a0641b9faf59600fc51d5f97bab7",SELECT * FROM `TB_Menu` WHERE `IdServ` = ? AND `Estado` = ? ,diamante_eci,,,,,0,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
